Taxon name,RelAbCoverage,PredictedRelAb,Mock_community,Tool,Level,ComType
Malasseziaceae,19.185733985251005,25.6705735578975,small_2,eukdetect,Family,EqualReads
Saccharomycetaceae,34.821162860273255,39.361108375192885,small_2,eukdetect,Family,EqualReads
Schizophyllaceae,3.6371205871195236,2.8661479365704716,small_2,eukdetect,Family,EqualReads
Aspergillus candidus,5.358173869235143,5.3178258092709,small_3,eukdetect,Species,EqualReads
Candida albicans,10.248322833854944,10.09109549900837,small_3,eukdetect,Species,EqualReads
Debaryomyces hansenii,12.044726658901169,14.175266395509093,small_3,eukdetect,Species,EqualReads
Kluyveromyces lactis,13.693632321964753,14.850919358633904,small_3,eukdetect,Species,EqualReads
Kluyveromyces marxianus,13.403959786311173,14.272748663820634,small_3,eukdetect,Species,EqualReads
Malassezia restricta,19.966611511525624,26.283236411307943,small_3,eukdetect,Species,EqualReads
Saccharomyces cerevisiae,12.125707821669593,14.524857978419442,small_3,eukdetect,Species,EqualReads
Aspergillus,5.358173869235143,5.3178258092709,small_3,eukdetect,Genus,EqualReads
Candida,10.248322833854944,10.09109549900837,small_3,eukdetect,Genus,EqualReads
Debaryomyces,12.044726658901169,14.175266395509093,small_3,eukdetect,Genus,EqualReads
Fusarium,2.7327284061016712,0.013445830111936537,small_3,eukdetect,Genus,EqualReads
Kluyveromyces,27.097592108275926,29.123668022454538,small_3,eukdetect,Genus,EqualReads
Kwoniella,6.362055332312414,0.4706040539177787,small_3,eukdetect,Genus,EqualReads
Malassezia,19.966611511525624,26.283236411307943,small_3,eukdetect,Genus,EqualReads
Saccharomyces,12.125707821669593,14.524857978419442,small_3,eukdetect,Genus,EqualReads
Aspergillaceae,5.358173869235143,5.3178258092709,small_3,eukdetect,Family,EqualReads
Cryptococcaceae,6.362055332312414,0.4706040539177787,small_3,eukdetect,Family,EqualReads
Debaryomycetaceae,22.29304949275611,24.266361894517463,small_3,eukdetect,Family,EqualReads
Malasseziaceae,19.966611511525624,26.283236411307943,small_3,eukdetect,Family,EqualReads
Nectriaceae,2.7327284061016712,0.013445830111936537,small_3,eukdetect,Family,EqualReads
Saccharomycetaceae,39.22329992994552,43.64852600087398,small_3,eukdetect,Family,EqualReads
Aspergillus glaucus,1.1266904588427626,1.6329447401260706,median_1,eukdetect,Species,EqualReads
Aspergillus terreus,1.0753006782141523,1.4174941604360207,median_1,eukdetect,Species,EqualReads
Aspergillus thermomutatus,1.019190860702318,1.5838817368303166,median_1,eukdetect,Species,EqualReads
Aspergillus tubingensis,0.8999243242976941,0.17918662073231864,median_1,eukdetect,Species,EqualReads
Botrytis porri,0.6740729952269159,0.8596691447038621,median_1,eukdetect,Species,EqualReads
Candida parapsilosis,2.4264425515009087,4.229017566688354,median_1,eukdetect,Species,EqualReads
Chaetomium globosum,0.9201601003233427,1.4068282901543352,median_1,eukdetect,Species,EqualReads
Cryptococcus neoformans,1.6554683499298155,1.5017545356613373,median_1,eukdetect,Species,EqualReads
Cryptococcus wingfieldii,1.5793776330113065,1.2415073007882078,median_1,eukdetect,Species,EqualReads
Cyphellophora europaea,1.095845239401828,2.342225113858165,median_1,eukdetect,Species,EqualReads
Debaryomyces hansenii,2.5953417166110335,4.497797497786832,median_1,eukdetect,Species,EqualReads
Diutina rugosa,2.345675297413264,4.410337361477009,median_1,eukdetect,Species,EqualReads
Eremothecium cymbalariae,3.2618131003802864,5.060955448659834,median_1,eukdetect,Species,EqualReads
Fusarium proliferatum,0.6976250352979454,0.22398327591539835,median_1,eukdetect,Species,EqualReads
Histoplasma capsulatum,1.0361700545050165,0.9225977793658073,median_1,eukdetect,Species,EqualReads
Hyphopichia burtonii,2.5428988274982287,4.762311080772635,median_1,eukdetect,Species,EqualReads
Kazachstania africana,2.833733796370176,5.105752103842913,median_1,eukdetect,Species,EqualReads
Kluyveromyces lactis,2.9506402447799953,4.712181490448713,median_1,eukdetect,Species,EqualReads
Kwoniella mangrovensis,1.392210755567911,1.478289621041629,median_1,eukdetect,Species,EqualReads
Kwoniella shandongensis,1.4809143752532121,1.4601576415627633,median_1,eukdetect,Species,EqualReads
Malassezia restricta,4.30231264376039,8.339643973249999,median_1,eukdetect,Species,EqualReads
Penicillium chrysogenum,0.9740602560768576,0.46503194428149364,median_1,eukdetect,Species,EqualReads
Pneumocystis jirovecii,3.756425956896367,3.2509572618577813,median_1,eukdetect,Species,EqualReads
Pseudozyma hubeiensis,1.7101317521281887,3.097368729801508,median_1,eukdetect,Species,EqualReads
Rhizopus microsporus,1.2143606269784342,0.9929925232249325,median_1,eukdetect,Species,EqualReads
Rhodotorula graminis,1.5008973483452104,1.1145834444361487,median_1,eukdetect,Species,EqualReads
Saccharomyces cerevisiae,2.6127911611641963,4.608722548716362,median_1,eukdetect,Species,EqualReads
Saccharomycodes ludwigii,2.5231027264620427,3.8802436084772336,median_1,eukdetect,Species,EqualReads
Sugiyamaella lignohabitans,1.9788771066657063,3.7298548375054663,median_1,eukdetect,Species,EqualReads
Torulaspora delbrueckii,3.42055691309593,6.4539181074479774,median_1,eukdetect,Species,EqualReads
Trichophyton benhamiae,1.4191696728394483,1.6158793476753734,median_1,eukdetect,Species,EqualReads
Wickerhamomyces ciferrii,1.9834948987552317,2.6302036114636773,median_1,eukdetect,Species,EqualReads
Zygosaccharomyces rouxii,3.2300084822762503,1.856928016041469,median_1,eukdetect,Species,EqualReads
Zygotorulaspora mrakii,3.029032932706327,5.56118476487089,median_1,eukdetect,Species,EqualReads
Alternaria,2.724571198948993,0.420235289098414,median_1,eukdetect,Genus,EqualReads
Aspergillus,4.121106322056927,4.854037565195132,median_1,eukdetect,Genus,EqualReads
Botrytis,0.6740729952269159,0.8596691447038621,median_1,eukdetect,Genus,EqualReads
Candida,4.634703521569911,4.229017566688354,median_1,eukdetect,Genus,EqualReads
Chaetomium,0.9201601003233427,1.4068282901543352,median_1,eukdetect,Genus,EqualReads
Cryptococcus,3.2348459829411222,2.743261836449545,median_1,eukdetect,Genus,EqualReads
Cyphellophora,1.095845239401828,2.342225113858165,median_1,eukdetect,Genus,EqualReads
Debaryomyces,2.5953417166110335,4.497797497786832,median_1,eukdetect,Genus,EqualReads
Diutina,2.345675297413264,4.410337361477009,median_1,eukdetect,Genus,EqualReads
Eremothecium,6.796671332332343,5.060955448659834,median_1,eukdetect,Genus,EqualReads
Fusarium,0.6976250352979454,0.2954446068026921,median_1,eukdetect,Genus,EqualReads
Histoplasma,1.0361700545050165,0.9225977793658073,median_1,eukdetect,Genus,EqualReads
Hyphopichia,2.5428988274982287,4.762311080772635,median_1,eukdetect,Genus,EqualReads
Kazachstania,5.741752827509594,5.105752103842913,median_1,eukdetect,Genus,EqualReads
Kluyveromyces,2.9506402447799953,4.712181490448713,median_1,eukdetect,Genus,EqualReads
Kwoniella,6.961230327713598,2.9384472626043925,median_1,eukdetect,Genus,EqualReads
Malassezia,12.194620467427693,8.339643973249999,median_1,eukdetect,Genus,EqualReads
Neurospora,0.7191617307218343,0.03839713301406828,median_1,eukdetect,Genus,EqualReads
Penicillium,0.9740602560768576,0.46503194428149364,median_1,eukdetect,Genus,EqualReads
Pneumocystis,7.960986910359175,3.2509572618577813,median_1,eukdetect,Genus,EqualReads
Pseudozyma,1.7101317521281887,3.097368729801508,median_1,eukdetect,Genus,EqualReads
Rhizopus,1.2143606269784342,0.9929925232249325,median_1,eukdetect,Genus,EqualReads
Rhodotorula,1.5008973483452104,1.1145834444361487,median_1,eukdetect,Genus,EqualReads
Saccharomyces,5.236449202632789,4.608722548716362,median_1,eukdetect,Genus,EqualReads
Saccharomycodes,2.5231027264620427,3.8802436084772336,median_1,eukdetect,Genus,EqualReads
Sugiyamaella,1.9788771066657063,3.7298548375054663,median_1,eukdetect,Genus,EqualReads
Torulaspora,3.42055691309593,6.4539181074479774,median_1,eukdetect,Genus,EqualReads
Trichophyton,1.4191696728394483,1.7182717023795555,median_1,eukdetect,Genus,EqualReads
Wickerhamomyces,1.9834948987552317,2.6302036114636773,median_1,eukdetect,Genus,EqualReads
Zygosaccharomyces,3.2300084822762503,4.534061456744563,median_1,eukdetect,Genus,EqualReads
Zygotorulaspora,3.029032932706327,5.56118476487089,median_1,eukdetect,Genus,EqualReads
Ajellomycetaceae,1.0361700545050165,0.9225977793658073,median_1,eukdetect,Family,EqualReads
Arthrodermataceae,1.4191696728394483,1.7182717023795555,median_1,eukdetect,Family,EqualReads
Aspergillaceae,5.095166578133784,5.319069509476626,median_1,eukdetect,Family,EqualReads
Chaetomiaceae,0.9201601003233427,1.4068282901543352,median_1,eukdetect,Family,EqualReads
Cryptococcaceae,10.19607631065472,5.681709099053937,median_1,eukdetect,Family,EqualReads
Cyphellophoraceae,1.095845239401828,2.342225113858165,median_1,eukdetect,Family,EqualReads
Debaryomycetaceae,12.118619363092437,13.48912614524782,median_1,eukdetect,Family,EqualReads
Malasseziaceae,12.194620467427693,8.339643973249999,median_1,eukdetect,Family,EqualReads
Nectriaceae,0.6976250352979454,0.2954446068026921,median_1,eukdetect,Family,EqualReads
Phaffomycetaceae,1.9834948987552317,2.6302036114636773,median_1,eukdetect,Family,EqualReads
Pleosporaceae,2.724571198948993,0.420235289098414,median_1,eukdetect,Family,EqualReads
Rhizopodaceae,1.2143606269784342,0.9929925232249325,median_1,eukdetect,Family,EqualReads
Saccharomycetaceae,30.405111935333228,36.03677592073125,median_1,eukdetect,Family,EqualReads
Saccharomycodaceae,2.5231027264620427,3.8802436084772336,median_1,eukdetect,Family,EqualReads
Sclerotiniaceae,0.6740729952269159,0.8596691447038621,median_1,eukdetect,Family,EqualReads
Sordariaceae,0.7191617307218343,0.03839713301406828,median_1,eukdetect,Family,EqualReads
Sporidiobolaceae,1.5008973483452104,1.1145834444361487,median_1,eukdetect,Family,EqualReads
Trichomonascaceae,1.9788771066657063,3.7298548375054663,median_1,eukdetect,Family,EqualReads
Ustilaginaceae,1.7101317521281887,3.097368729801508,median_1,eukdetect,Family,EqualReads
Ascochyta rabiei,0.7965647263602551,1.2546783795838423,median_2,eukdetect,Species,EqualReads
Ascoidea rubescens,1.8588356069501668,2.553958927220897,median_2,eukdetect,Species,EqualReads
Aspergillus aculeatinus,0.8921191017818939,0.4974111350282157,median_2,eukdetect,Species,EqualReads
Aspergillus candidus,1.1910581414320507,1.5979211511237805,median_2,eukdetect,Species,EqualReads
Aspergillus fischeri,1.0369544798682913,1.3351562045494212,median_2,eukdetect,Species,EqualReads
Aspergillus lentulus,1.0763412974488835,1.0210018034789692,median_2,eukdetect,Species,EqualReads
Beauveria bassiana,0.9656650011558314,0.48286694979347256,median_2,eukdetect,Species,EqualReads
Bipolaris sorokiniana,0.9455926307772724,1.3661837997168733,median_2,eukdetect,Species,EqualReads
Brettanomyces bruxellensis,2.474178819658507,3.6069579382163015,median_2,eukdetect,Species,EqualReads
Candida albicans,2.2780799289421534,2.9107762716465957,median_2,eukdetect,Species,EqualReads
Clavispora lusitaniae,2.6857073712571693,4.194543021699924,median_2,eukdetect,Species,EqualReads
Cryptococcus amylolentus,1.6063718179151705,1.1955320262958868,median_2,eukdetect,Species,EqualReads
Cyberlindnera jadinii,2.499309996369336,4.248841313242965,median_2,eukdetect,Species,EqualReads
Debaryomyces hansenii,2.6773990726164594,4.088855275660791,median_2,eukdetect,Species,EqualReads
Kluyveromyces lactis,3.043931134168545,4.283747357806349,median_2,eukdetect,Species,EqualReads
Kwoniella pini,1.5621347445599045,1.1412337347528458,median_2,eukdetect,Species,EqualReads
Malassezia restricta,4.438339586954862,7.581398956697112,median_2,eukdetect,Species,EqualReads
Naumovozyma castellii,2.900034907529134,4.662865786258654,median_2,eukdetect,Species,EqualReads
Neurospora crassa,0.7928607887340735,0.7873252273740958,median_2,eukdetect,Species,EqualReads
Neurospora tetrasperma,0.8311648180784775,0.8939825857622122,median_2,eukdetect,Species,EqualReads
Ogataea philodendri,3.6143211105550845,5.850640913762677,median_2,eukdetect,Species,EqualReads
Ogataea polymorpha,3.6255526706422665,5.294083425446507,median_2,eukdetect,Species,EqualReads
Rhodotorula toruloides,1.608838412728068,1.6958519983710514,median_2,eukdetect,Species,EqualReads
Saccharomyces cerevisiae,2.6954002191958453,4.18969495995501,median_2,eukdetect,Species,EqualReads
Saprochaete ingens,1.5355484143807787,2.8555083677545716,median_2,eukdetect,Species,EqualReads
Schizophyllum commune,0.8413947726342302,0.8076870867027363,median_2,eukdetect,Species,EqualReads
Suhomyces tanzawaensis,2.476899319345567,4.309926891228886,median_2,eukdetect,Species,EqualReads
Tetrapisispora blattae,2.316036541622674,3.2530494308375513,median_2,eukdetect,Species,EqualReads
Tetrapisispora phaffii,2.6856679116492517,3.8813582329784553,median_2,eukdetect,Species,EqualReads
Trichosporon asahii,1.327623467668341,1.4815676692458355,median_2,eukdetect,Species,EqualReads
Xylona heveae,1.33689586616422,1.9828572536699827,median_2,eukdetect,Species,EqualReads
Yamadazyma tenuis,3.0275335786457225,5.7488316171194755,median_2,eukdetect,Species,EqualReads
Alternaria,0.9872239936195558,0.06011596563693836,median_2,eukdetect,Genus,EqualReads
Ascochyta,0.7965647263602551,1.2546783795838423,median_2,eukdetect,Genus,EqualReads
Ascoidea,1.8588356069501668,2.553958927220897,median_2,eukdetect,Genus,EqualReads
Aspergillus,4.196473020531119,4.578509511897144,median_2,eukdetect,Genus,EqualReads
Beauveria,0.9656650011558314,0.6690325207981849,median_2,eukdetect,Genus,EqualReads
Bipolaris,0.9455926307772724,1.3661837997168733,median_2,eukdetect,Genus,EqualReads
Brettanomyces,2.474178819658507,3.6069579382163015,median_2,eukdetect,Genus,EqualReads
Candida,7.211095640148834,2.9107762716465957,median_2,eukdetect,Genus,EqualReads
Clavispora,2.6857073712571693,4.194543021699924,median_2,eukdetect,Genus,EqualReads
Cryptococcus,5.20827924197334,2.158357088835883,median_2,eukdetect,Genus,EqualReads
Cyberlindnera,2.499309996369336,4.248841313242965,median_2,eukdetect,Genus,EqualReads
Debaryomyces,2.6773990726164594,4.088855275660791,median_2,eukdetect,Genus,EqualReads
Fusarium,0.607452930017487,0.009696123489828767,median_2,eukdetect,Genus,EqualReads
Kluyveromyces,3.043931134168545,4.283747357806349,median_2,eukdetect,Genus,EqualReads
Kwoniella,1.5621347445599045,1.1412337347528458,median_2,eukdetect,Genus,EqualReads
Malassezia,8.43029884545609,7.581398956697112,median_2,eukdetect,Genus,EqualReads
Meyerozyma,3.0666537052266682,3.621502123451044,median_2,eukdetect,Genus,EqualReads
Naumovozyma,2.900034907529134,4.662865786258654,median_2,eukdetect,Genus,EqualReads
Neurospora,1.624025606812551,1.752089514612058,median_2,eukdetect,Genus,EqualReads
Ogataea,14.560670874236369,11.144724339209183,median_2,eukdetect,Genus,EqualReads
Rhodotorula,1.608838412728068,1.6958519983710514,median_2,eukdetect,Genus,EqualReads
Saccharomyces,2.6954002191958453,4.18969495995501,median_2,eukdetect,Genus,EqualReads
Saprochaete,1.5355484143807787,2.8555083677545716,median_2,eukdetect,Genus,EqualReads
Scheffersomyces,1.886159273635675,2.9805883607733628,median_2,eukdetect,Genus,EqualReads
Schizophyllum,0.8413947726342302,0.8076870867027363,median_2,eukdetect,Genus,EqualReads
Suhomyces,2.476899319345567,4.309926891228886,median_2,eukdetect,Genus,EqualReads
Tetrapisispora,5.001704453271925,7.134407663816006,median_2,eukdetect,Genus,EqualReads
Trichophyton,1.445941586777214,0.9056179339500067,median_2,eukdetect,Genus,EqualReads
Trichosporon,1.327623467668341,1.4815676692458355,median_2,eukdetect,Genus,EqualReads
Xylona,1.33689586616422,1.9828572536699827,median_2,eukdetect,Genus,EqualReads
Yamadazyma,3.0275335786457225,5.7488316171194755,median_2,eukdetect,Genus,EqualReads
Arthrodermataceae,2.826780242792516,0.9056179339500067,median_2,eukdetect,Family,EqualReads
Ascoideaceae,1.8588356069501668,2.553958927220897,median_2,eukdetect,Family,EqualReads
Aspergillaceae,4.196473020531119,4.578509511897144,median_2,eukdetect,Family,EqualReads
Cordycipitaceae,0.9656650011558314,0.6690325207981849,median_2,eukdetect,Family,EqualReads
Cryptococcaceae,6.770413986533244,3.299590823588729,median_2,eukdetect,Family,EqualReads
Debaryomycetaceae,20.345740589618927,23.660480539880155,median_2,eukdetect,Family,EqualReads
Didymellaceae,0.7965647263602551,1.2546783795838423,median_2,eukdetect,Family,EqualReads
Dipodascaceae,1.5355484143807787,2.8555083677545716,median_2,eukdetect,Family,EqualReads
Malasseziaceae,8.43029884545609,7.581398956697112,median_2,eukdetect,Family,EqualReads
Metschnikowiaceae,2.6857073712571693,4.194543021699924,median_2,eukdetect,Family,EqualReads
Nectriaceae,0.607452930017487,0.009696123489828767,median_2,eukdetect,Family,EqualReads
Phaffomycetaceae,2.499309996369336,4.248841313242965,median_2,eukdetect,Family,EqualReads
Pichiaceae,17.034849693894877,14.751682277425486,median_2,eukdetect,Family,EqualReads
Pleosporaceae,1.9328166243968283,1.4262997653538116,median_2,eukdetect,Family,EqualReads
Saccharomycetaceae,13.64107071416545,20.290108014815676,median_2,eukdetect,Family,EqualReads
Schizophyllaceae,0.8413947726342302,0.8076870867027363,median_2,eukdetect,Family,EqualReads
Sordariaceae,1.624025606812551,1.752089514612058,median_2,eukdetect,Family,EqualReads
Sporidiobolaceae,1.608838412728068,1.6958519983710514,median_2,eukdetect,Family,EqualReads
Trichosporonaceae,1.327623467668341,1.4815676692458355,median_2,eukdetect,Family,EqualReads
Xylonaceae,1.33689586616422,1.9828572536699827,median_2,eukdetect,Family,EqualReads
Aspergillus niger,0.7709285852069958,0.12710939945551647,median_3,eukdetect,Species,EqualReads
Blastomyces dermatitidis,0.39347411535608795,0.032251638667817606,median_3,eukdetect,Species,EqualReads
Candida orthopsilosis,2.0690466125183233,3.830356380607279,median_3,eukdetect,Species,EqualReads
Cladophialophora carrionii,0.9034800617182666,1.8459320249286193,median_3,eukdetect,Species,EqualReads
Coccidioides posadasii,0.9696254125750994,0.4325513891919068,median_3,eukdetect,Species,EqualReads
Debaryomyces fabryi,2.2394807539250032,4.232553286347122,median_3,eukdetect,Species,EqualReads
Encephalitozoon cuniculi,10.48756416089772,4.0788837138710505,median_3,eukdetect,Species,EqualReads
Eremothecium gossypii,2.8796851842818367,5.933352937270563,median_3,eukdetect,Species,EqualReads
Fonsecaea nubica,0.7752255077325346,1.31662571973326,median_3,eukdetect,Species,EqualReads
Kluyveromyces marxianus,2.398581445156725,4.254370571328294,median_3,eukdetect,Species,EqualReads
Komagataella phaffii,2.841993975893898,4.954420845941511,median_3,eukdetect,Species,EqualReads
Kuraishia capsulata,2.303431897925798,4.738145151345558,median_3,eukdetect,Species,EqualReads
Kwoniella dejecticola,1.0976640881417552,1.232202312632208,median_3,eukdetect,Species,EqualReads
Lodderomyces elongisporus,1.6282569785745982,3.049677009324518,median_3,eukdetect,Species,EqualReads
Malassezia restricta,3.572939986220146,7.422619781637435,median_3,eukdetect,Species,EqualReads
Metschnikowia bicuspidata,1.6314269433753728,2.9235161874768782,median_3,eukdetect,Species,EqualReads
Ogataea parapolymorpha,2.9514483155852225,5.040741408258317,median_3,eukdetect,Species,EqualReads
Paracoccidioides brasiliensis,0.8744797855394285,1.2748883049866724,median_3,eukdetect,Species,EqualReads
Pichia kudriavzevii,2.422451562610428,4.287570787603988,median_3,eukdetect,Species,EqualReads
Pneumocystis carinii,3.4187875980180706,2.7802809686874532,median_3,eukdetect,Species,EqualReads
Priceomyces carsonii,2.2264337305786457,4.2003016476793045,median_3,eukdetect,Species,EqualReads
Saccharomyces cerevisiae,2.169843706943307,4.0988038436364675,median_3,eukdetect,Species,EqualReads
Saccharomyces eubayanus,2.244430182065942,3.788618965860692,median_3,eukdetect,Species,EqualReads
Scheffersomyces stipitis,1.6963012186803308,3.6131321084034487,median_3,eukdetect,Species,EqualReads
Sordaria macrospora,0.6865439820907311,1.235048045455839,median_3,eukdetect,Species,EqualReads
Tetrapisispora blattae,1.8644493975703562,3.194809383329697,median_3,eukdetect,Species,EqualReads
Verticillium alfalfae,0.7977490899327391,0.5378435036662524,median_3,eukdetect,Species,EqualReads
Wallemia mellicola,2.6684999505440747,3.64443516946339,median_3,eukdetect,Species,EqualReads
Wickerhamomyces anomalus,1.8516679188065759,3.0781343375608277,median_3,eukdetect,Species,EqualReads
Aspergillus,0.7709285852069958,0.4059912161713511,median_3,eukdetect,Genus,EqualReads
Blastomyces,0.39347411535608795,0.39745401770045813,median_3,eukdetect,Genus,EqualReads
Candida,9.520172814156723,3.830356380607279,median_3,eukdetect,Genus,EqualReads
Cladophialophora,1.6167445090137904,1.8459320249286193,median_3,eukdetect,Genus,EqualReads
Coccidioides,0.9696254125750994,1.2663511065157798,median_3,eukdetect,Genus,EqualReads
Cryptococcus,1.4924620327745368,0.8726913992468295,median_3,eukdetect,Genus,EqualReads
Debaryomyces,4.394833227119465,4.232553286347122,median_3,eukdetect,Genus,EqualReads
Encephalitozoon,10.48756416089772,4.0788837138710505,median_3,eukdetect,Genus,EqualReads
Eremothecium,2.8796851842818367,5.933352937270563,median_3,eukdetect,Genus,EqualReads
Fonsecaea,1.5187123565372875,1.3403401599301847,median_3,eukdetect,Genus,EqualReads
Kazachstania,1.822680279861611,0.0037943104315079535,median_3,eukdetect,Genus,EqualReads
Kluyveromyces,4.848998555315948,4.254370571328294,median_3,eukdetect,Genus,EqualReads
Komagataella,2.841993975893898,4.954420845941511,median_3,eukdetect,Genus,EqualReads
Kuraishia,2.303431897925798,4.738145151345558,median_3,eukdetect,Genus,EqualReads
Kwoniella,1.0976640881417552,1.232202312632208,median_3,eukdetect,Genus,EqualReads
Lodderomyces,1.6282569785745982,3.049677009324518,median_3,eukdetect,Genus,EqualReads
Malassezia,9.913004276959512,7.422619781637435,median_3,eukdetect,Genus,EqualReads
Metschnikowia,1.6314269433753728,2.9235161874768782,median_3,eukdetect,Genus,EqualReads
Nakaseomyces,2.126349228770909,3.5087885715369804,median_3,eukdetect,Genus,EqualReads
Ogataea,2.9514483155852225,5.040741408258317,median_3,eukdetect,Genus,EqualReads
Paracoccidioides,0.8744797855394285,1.2748883049866724,median_3,eukdetect,Genus,EqualReads
Penicillium,0.8634116712648487,1.151573215962664,median_3,eukdetect,Genus,EqualReads
Pichia,2.422451562610428,4.287570787603988,median_3,eukdetect,Genus,EqualReads
Pneumocystis,3.4187875980180706,2.7802809686874532,median_3,eukdetect,Genus,EqualReads
Priceomyces,2.2264337305786457,4.2003016476793045,median_3,eukdetect,Genus,EqualReads
Saccharomyces,6.6128120145843114,7.88742280949716,median_3,eukdetect,Genus,EqualReads
Scheffersomyces,5.698495094099152,3.6131321084034487,median_3,eukdetect,Genus,EqualReads
Sordaria,0.6865439820907311,1.235048045455839,median_3,eukdetect,Genus,EqualReads
Tetrapisispora,1.8644493975703562,3.194809383329697,median_3,eukdetect,Genus,EqualReads
Verticillium,0.7977490899327391,0.6402898853169672,median_3,eukdetect,Genus,EqualReads
Wallemia,2.6684999505440747,3.64443516946339,median_3,eukdetect,Genus,EqualReads
Wickerhamomyces,1.8516679188065759,3.0781343375608277,median_3,eukdetect,Genus,EqualReads
Ajellomycetaceae,0.39347411535608795,0.39745401770045813,median_3,eukdetect,Family,EqualReads
Aspergillaceae,1.6343402564718446,1.557564432134015,median_3,eukdetect,Family,EqualReads
Cryptococcaceae,2.590126120916292,2.104893711879037,median_3,eukdetect,Family,EqualReads
Debaryomycetaceae,25.171555968925418,18.92602043236167,median_3,eukdetect,Family,EqualReads
Herpotrichiellaceae,3.135456865551078,3.186272184858804,median_3,eukdetect,Family,EqualReads
Malasseziaceae,9.913004276959512,7.422619781637435,median_3,eukdetect,Family,EqualReads
Metschnikowiaceae,1.6314269433753728,2.9235161874768782,median_3,eukdetect,Family,EqualReads
Phaffomycetaceae,4.693661894700474,8.032555183502339,median_3,eukdetect,Family,EqualReads
Pichiaceae,5.373899878195651,9.328312195862305,median_3,eukdetect,Family,EqualReads
Plectosphaerellaceae,0.7977490899327391,0.6402898853169672,median_3,eukdetect,Family,EqualReads
