	filename	accession	label	taxonomy	DetectedCoreGenes	PercCoreGenes	GC	NumContigs	GenomeLength
58	GCF_002237265.1.fna	GCF_002237265.1	Aspergillus thermomutatus	Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus thermomutatus	56.0	91.80327868852459	50.0	647.0	30945974
59	GCF_000223465.1.fna	GCF_000223465.1	Yamadazyma tenuis ATCC 10573	Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Yamadazyma;Yamadazyma tenuis	54.0	88.52459016393442	43.0	74.0	10747050
60	GCF_022478825.1.fna	GCF_022478825.1	Daldinia caldariorum	Fungi;Ascomycota;Sordariomycetes;Xylariales;Hypoxylaceae;Daldinia;Daldinia caldariorum	56.0	91.80327868852459	46.0	211.0	35556611
61	GCF_000150735.1.fna	GCF_000150735.1	Paracoccidioides brasiliensis Pb18	Fungi;Ascomycota;Eurotiomycetes;Onygenales;;Paracoccidioides;Paracoccidioides brasiliensis	55.0	90.1639344262295	44.5	556.0	29952540
62	GCF_025201355.1.fna	GCF_025201355.1	Halteromyces radiatus	Fungi;Mucoromycota;Mucoromycetes;Mucorales;Cunninghamellaceae;Halteromyces;Halteromyces radiatus	55.0	90.1639344262295	33.5	22.0	26215609
63	GCF_013036055.1.fna	GCF_013036055.1	Alternaria burnsii	Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Alternaria;Alternaria burnsii	60.0	98.36065573770492	51.0	82.0	32958128
64	GCF_003054445.1.fna	GCF_003054445.1	Pichia kudriavzevii	Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia;Pichia kudriavzevii	55.0	90.1639344262295	38.5	5.0	10812555
65	GCF_000026365.1.fna	GCF_000026365.1	Zygosaccharomyces rouxii	Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Zygosaccharomyces;Zygosaccharomyces rouxii	55.0	90.1639344262295	39.0	9.0	9764635
66	GCF_021052385.1.fna	GCF_021052385.1	Filobasidium floriforme	Fungi;Basidiomycota;Tremellomycetes;Filobasidiales;Filobasidiaceae;Filobasidium;Filobasidium floriforme	54.0	88.52459016393442	53.0	42.0	27469088
67	GCF_001661395.1.fna	GCF_001661395.1	Hyphopichia burtonii NRRL Y-1933	Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Hyphopichia;Hyphopichia burtonii	56.0	91.80327868852459	35.0	243.0	12403110
68	GCF_000003525.1.fna	GCF_000003525.1	Blastomyces dermatitidis ER-3	Fungi;Ascomycota;Eurotiomycetes;Onygenales;Ajellomycetaceae;Blastomyces;Blastomyces dermatitidis	58.0	95.08196721311475	37.0	591.0	66568269
69	GCF_000349305.1.fna	GCF_000349305.1	Malassezia sympodialis ATCC 42132	Fungi;Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia;Malassezia sympodialis	54.0	88.52459016393442	59.0	88.0	7669689
70	GCF_000835475.1.fna	GCF_000835475.1	Cladophialophora bantiana CBS 173.52	Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Cladophialophora;Cladophialophora bantiana	55.0	90.1639344262295	51.5	140.0	36722552
71	GCF_033439665.1.fna	GCF_033439665.1	Chaetomium strumarium	Fungi;Ascomycota;Sordariomycetes;Sordariales;Chaetomiaceae;Chaetomium;Chaetomium strumarium	56.0	91.80327868852459	55.5	8.0	32422668
72	GCF_000151125.1.fna	GCF_000151125.1	Trichophyton benhamiae CBS 112371	Fungi;Ascomycota;Eurotiomycetes;Onygenales;Arthrodermataceae;Trichophyton;Trichophyton benhamiae	57.0	93.44262295081968	48.5	68.0	22224160
73	GCF_020736505.1.fna	GCF_020736505.1	Alternaria rosae	Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Alternaria;Alternaria rosae	56.0	91.80327868852459	52.0	52.0	33831682
74	GCF_024610275.1.fna	GCF_024610275.1	Candida theae	Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Candida;Candida theae	60.0	98.36065573770492	40.5	231.0	12421729
75	GCF_000003855.2.fna	GCF_000003855.2	Blastomyces gilchristii SLH14081	Fungi;Ascomycota;Eurotiomycetes;Onygenales;Ajellomycetaceae;Blastomyces;Blastomyces gilchristii	60.0	98.36065573770492	36.0	1791.0	75353942
76	GCF_000091225.2.fna	GCF_000091225.2	Encephalitozoon cuniculi GB-M1	Fungi;Microsporidia;;;Unikaryonidae;Encephalitozoon;Encephalitozoon cuniculi	11.0	18.0327868852459	47.5	12.0	2497519
77	GCF_000512605.1.fna	GCF_000512605.1	Kwoniella pini CBS 10737	Fungi;Basidiomycota;Tremellomycetes;Tremellales;Cryptococcaceae;Kwoniella;Kwoniella pini	52.0	85.24590163934425	40.0	42.0	20828584
78	GCF_009176365.1.fna	GCF_009176365.1	Aspergillus alliaceus	Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus alliaceus	56.0	91.80327868852459	47.0	418.0	40168528
79	GCF_001661405.1.fna	GCF_001661405.1	Cyberlindnera jadinii NRRL Y-1542	Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Phaffomycetaceae;Cyberlindnera;Cyberlindnera jadinii	55.0	90.1639344262295	44.5	392.0	13018415
80	GCF_001477535.1.fna	GCF_001477535.1	Pneumocystis jirovecii RU7	Fungi;Ascomycota;Pneumocystomycetes;Pneumocystales;Pneumocystaceae;Pneumocystis;Pneumocystis jirovecii	37.0	60.65573770491803	28.5	70.0	8396240
81	GCF_036850825.1.fna	GCF_036850825.1	Scheffersomyces amazonensis	Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Scheffersomyces;Scheffersomyces amazonensis	55.0	90.1639344262295	32.0	9.0	14209774
82	GCF_001447935.2.fna	GCF_001447935.2	Debaryomyces fabryi	Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Debaryomyces;Debaryomyces fabryi	58.0	95.08196721311475	35.5	534.0	11695966
83	GCF_947243775.1.fna	GCF_947243775.1	Saccharomyces kudriavzevii IFO 1802	Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces;Saccharomyces kudriavzevii	55.0	90.1639344262295	40.0	16.0	11913776
84	GCF_001298625.1.fna	GCF_001298625.1	Saccharomyces eubayanus	Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces;Saccharomyces eubayanus	59.0	96.72131147540983	40.0	132.0	11670174
85	GCF_000576695.1.fna	GCF_000576695.1	Kuraishia capsulata CBS 1993	Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;;Kuraishia;Kuraishia capsulata	55.0	90.1639344262295	45.5	73.0	11371246
86	GCF_004022145.1.fna	GCF_004022145.1	Paecilomyces variotii	Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Thermoascaceae;Paecilomyces;Paecilomyces variotii	56.0	91.80327868852459	46.5	86.0	30105809
87	GCF_000091025.4.fna	GCF_000091025.4	Eremothecium gossypii ATCC 10895	Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Eremothecium;Eremothecium gossypii	57.0	93.44262295081968	52.0	7.0	9095748
88	GCF_029542785.1.fna	GCF_029542785.1	Malassezia japonica	Fungi;Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia;Malassezia japonica	54.0	88.52459016393442	62.5	9.0	8433779
89	GCF_000836295.1.fna	GCF_000836295.1	Verruconis gallopava	Fungi;Ascomycota;Dothideomycetes;Venturiales;Sympoventuriaceae;Verruconis;Verruconis gallopava	57.0	93.44262295081968	49.0	565.0	31780469
90	GCF_008629635.1.fna	GCF_008629635.1	Kwoniella shandongensis	Fungi;Basidiomycota;Tremellomycetes;Tremellales;Cryptococcaceae;Kwoniella;Kwoniella shandongensis	60.0	98.36065573770492	50.0	142.0	21297554
91	GCF_004011695.2.fna	GCF_004011695.2	Ascochyta rabiei	Fungi;Ascomycota;Dothideomycetes;Pleosporales;Didymellaceae;Ascochyta;Ascochyta rabiei	60.0	98.36065573770492	49.0	22.0	40846718
92	GCF_000400465.1.fna	GCF_000400465.1	Wallemia ichthyophaga EXF-994	Fungi;Basidiomycota;Wallemiomycetes;Wallemiales;Wallemiaceae;Wallemia;Wallemia ichthyophaga	61.0	100.0	45.5	101.0	9655632
93	GCF_000512565.1.fna	GCF_000512565.1	Kwoniella dejecticola CBS 10117	Fungi;Basidiomycota;Tremellomycetes;Tremellales;Cryptococcaceae;Kwoniella;Kwoniella dejecticola	54.0	88.52459016393442	48.5	69.0	23862392
94	GCF_000002525.2.fna	GCF_000002525.2	Yarrowia lipolytica CLIB122	Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Dipodascaceae;Yarrowia;Yarrowia lipolytica	59.0	96.72131147540983	49.0	18.0	20502981
95	GCF_000938715.1.fna	GCF_000938715.1	Lachancea lanzarotensis	Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Lachancea;Lachancea lanzarotensis	55.0	90.1639344262295	44.5	34.0	11092131
96	GCF_023343755.2.fna	GCF_023343755.2	Candida oxycetoniae	Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Candida;Candida oxycetoniae	61.0	100.0	38.0	129.0	12748657
97	GCF_002708625.1.fna	GCF_002708625.1	Rhizopus microsporus ATCC 52813	Fungi;Mucoromycota;Mucoromycetes;Mucorales;Rhizopodaceae;Rhizopus;Rhizopus microsporus	55.0	90.1639344262295	37.5	823.0	25972395
98	GCF_000182925.2.fna	GCF_000182925.2	Neurospora crassa OR74A	Fungi;Ascomycota;Sordariomycetes;Sordariales;Sordariaceae;Neurospora;Neurospora crassa	61.0	100.0	48.5	411.0	41037538
99	GCF_000142805.1.fna	GCF_000142805.1	Lachancea thermotolerans CBS 6340	Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Lachancea;Lachancea thermotolerans	55.0	90.1639344262295	47.5	10.0	10392862
100	GCF_000338995.1.fna	GCF_000338995.1	Bipolaris sorokiniana ND90Pr	Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Bipolaris;Bipolaris sorokiniana	56.0	91.80327868852459	50.0	504.0	34409167
101	GCF_024291825.1.fna	GCF_024291825.1	Alternaria postmessia	Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Alternaria;Alternaria postmessia	60.0	98.36065573770492	51.0	739.0	34409470
102	GCF_000151145.1.fna	GCF_000151145.1	Microsporum canis CBS 113480	Fungi;Ascomycota;Eurotiomycetes;Onygenales;Arthrodermataceae;Microsporum;Microsporum canis	59.0	96.72131147540983	47.5	309.0	23241642
103	GCF_000464535.1.fna	GCF_000464535.1	Endocarpon pusillum Z07020	Fungi;Ascomycota;Eurotiomycetes;Verrucariales;Verrucariaceae;Endocarpon;Endocarpon pusillum	58.0	95.08196721311475	46.0	1731.0	37130611
104	GCF_900007245.1.fna	GCF_900007245.1	Priceomyces carsonii	Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Priceomyces;Priceomyces carsonii	59.0	96.72131147540983	37.0	130.0	11764505
105	GCF_000002545.3.fna	GCF_000002545.3	Nakaseomyces glabratus	Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Nakaseomyces;Nakaseomyces glabratus	56.0	91.80327868852459	38.5	16.0	12318245
106	GCF_000223485.1.fna	GCF_000223485.1	Spathaspora passalidarum NRRL Y-27907	Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Spathaspora;Spathaspora passalidarum	55.0	90.1639344262295	37.5	26.0	13182099
107	GCF_000732125.1.fna	GCF_000732125.1	Scedosporium apiospermum	Fungi;Ascomycota;Sordariomycetes;Microascales;Microascaceae;Scedosporium;Scedosporium apiospermum	59.0	96.72131147540983	50.5	333.0	43437139
108	GCF_000149425.1.fna	GCF_000149425.1	Meyerozyma guilliermondii ATCC 6260	Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Meyerozyma;Meyerozyma guilliermondii	60.0	98.36065573770492	44.0	71.0	10609954
109	GCF_000304475.1.fna	GCF_000304475.1	Kazachstania africana CBS 2517	Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Kazachstania;Kazachstania africana	55.0	90.1639344262295	36.5	34.0	11130140
110	GCF_000365165.1.fna	GCF_000365165.1	Cladophialophora carrionii CBS 160.54	Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Cladophialophora;Cladophialophora carrionii	55.0	90.1639344262295	54.5	102.0	28991111
111	GCF_001661345.1.fna	GCF_001661345.1	Ascoidea rubescens DSM 1968	Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Ascoideaceae;Ascoidea;Ascoidea rubescens	49.0	80.32786885245902	33.0	326.0	17503998
112	GCF_030384665.1.fna	GCF_030384665.1	Lodderomyces elongisporus	Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Lodderomyces;Lodderomyces elongisporus	55.0	90.1639344262295	37.0	8.0	16086460
113	GCF_004353045.1.fna	GCF_004353045.1	Thyridium curvatum	Fungi;Ascomycota;Sordariomycetes;;Thyridiaceae;Thyridium;Thyridium curvatum	60.0	98.36065573770492	55.0	359.0	40366568
114	GCF_003184765.1.fna	GCF_003184765.1	Aspergillus aculeatinus CBS 121060	Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus aculeatinus	56.0	91.80327868852459	50.5	325.0	36471649
