Name	Rank	Lineage	Taxid	Observed_markers	Read_counts	Percent_observed_markers	Total_marker_coverage	Percent_identity
Wallemia ichthyophaga EXF-994	species	phylum-Basidiomycota|class-Wallemiomycetes|order-Wallemiales|family-Wallemiaceae|genus-Wallemia|species-Wallemia_ichthyophaga	1299270	145	5758	95.39%	76.39%	99.62%
Cokeromyces recurvatus B5483	species	phylum-Mucoromycota|class-Mucoromycetes|order-Mucorales|family-Mucoraceae|genus-Cokeromyces|species-Cokeromyces_recurvatus	1357676	151	3347	94.97%	65.06%	99.46%
Schizophyllum commune H4-8	species	phylum-Basidiomycota|class-Agaricomycetes|order-Agaricales|family-Schizophyllaceae|genus-Schizophyllum|species-Schizophyllum_commune	578458	170	4583	94.44%	65.55%	99.42%
Histoplasma capsulatum NAm1	species	phylum-Ascomycota|class-Eurotiomycetes|order-Onygenales|family-Ajellomycetaceae|genus-Histoplasma|species-Histoplasma_capsulatum	339724	170	3618	93.41%	65.53%	98.08%
Neurospora	genus	phylum-Ascomycota|class-Sordariomycetes|order-Sordariales|family-Sordariaceae|genus-Neurospora	5140	14	286	93.33%	75.48%	99.77%
Blastomyces	genus	phylum-Ascomycota|class-Eurotiomycetes|order-Onygenales|family-Ajellomycetaceae|genus-Blastomyces	229219	137	3002	92.57%	64.99%	99.94%
Kwoniella mangroviensis CBS 8507	species	phylum-Basidiomycota|class-Tremellomycetes|order-Tremellales|family-Cryptococcaceae|genus-Kwoniella|species-Kwoniella_mangrovensis	1296122	168	4497	91.3%	60.36%	98.87%
Fusarium proliferatum ET1	species	phylum-Ascomycota|class-Sordariomycetes|order-Hypocreales|family-Nectriaceae|genus-Fusarium|species-Fusarium_proliferatum	1227346	112	1508	91.06%	48.85%	99.98%
Cryptococcus wingfieldii CBS 7118	species	phylum-Basidiomycota|class-Tremellomycetes|order-Tremellales|family-Cryptococcaceae|genus-Cryptococcus|species-Cryptococcus_wingfieldii	1295528	146	3015	89.57%	56.55%	99.9%
Cryptococcus gattii WM276	species	phylum-Basidiomycota|class-Tremellomycetes|order-Tremellales|family-Cryptococcaceae|genus-Cryptococcus|species-Cryptococcus_gattii_VGI	367775	144	2503	86.75%	49.36%	99.89%
Cryptococcus gattii VGII 2001/935-1	species	phylum-Basidiomycota|class-Tremellomycetes|order-Tremellales|family-Cryptococcaceae|genus-Cryptococcus|species-Cryptococcus_gattii_VGII	1334442	138	2099	81.18%	44.17%	99.86%
Alternaria sect. Alternaria	section	phylum-Ascomycota|class-Dothideomycetes|order-Pleosporales|family-Pleosporaceae|genus-Alternaria	2499237	50	801	78.12%	64.25%	99.88%
Alternaria alternata complex	species group	phylum-Ascomycota|class-Dothideomycetes|order-Pleosporales|family-Pleosporaceae|genus-Alternaria	187734	64	824	78.05%	38.67%	99.97%
Blastomyces dermatitidis ER-3	species	phylum-Ascomycota|class-Eurotiomycetes|order-Onygenales|family-Ajellomycetaceae|genus-Blastomyces|species-Blastomyces_dermatitidis	559297	29	307	56.86%	22.04%	99.78%
Trichophyton	genus	phylum-Ascomycota|class-Eurotiomycetes|order-Onygenales|family-Arthrodermataceae|genus-Trichophyton	5550	167	2725	40.44%	49.87%	99.94%
Trichophyton violaceum	species	phylum-Ascomycota|class-Eurotiomycetes|order-Onygenales|family-Arthrodermataceae|genus-Trichophyton|species-Trichophyton_violaceum	34388	12	127	32.43%	17.91%	99.48%
Alternaria alternata	species	phylum-Ascomycota|class-Dothideomycetes|order-Pleosporales|family-Pleosporaceae|genus-Alternaria|species-Alternaria_alternata	5599	21	275	31.34%	32.9%	99.89%
Cryptococcus gattii species complex	species group	phylum-Basidiomycota|class-Tremellomycetes|order-Tremellales|family-Cryptococcaceae|genus-Cryptococcus	1884637	3	26	25.0%	25.95%	98.62%
Fusarium fujikuroi species complex	species group	phylum-Ascomycota|class-Sordariomycetes|order-Hypocreales|family-Nectriaceae|genus-Fusarium	171627	54	400	14.96%	24.72%	99.92%
Aspergillus	genus	phylum-Ascomycota|class-Eurotiomycetes|order-Eurotiales|family-Aspergillaceae|genus-Aspergillus	5052	256	8591	13.87%	76.6%	99.71%
[Candida] glabrata	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Saccharomycetaceae|genus-Nakaseomyces|species-[Candida]_glabrata	5478	7	27	4.38%	8.18%	99.4%
Botryotinia narcissicola	species	phylum-Ascomycota|class-Leotiomycetes|order-Helotiales|family-Sclerotiniaceae|genus-Botryotinia|species-Botryotinia_narcissicola	278944	4	5	2.04%	6.5%	97.12%
Fusarium solani species complex	species group	phylum-Ascomycota|class-Sordariomycetes|order-Hypocreales|family-Nectriaceae|genus-Fusarium	232080	4	9	1.17%	5.19%	98.05%
