Name	Rank	Lineage	Taxid	Observed_markers	Read_counts	Percent_observed_markers	Total_marker_coverage	Percent_identity
Rhodotorula graminis WP1	species	phylum-Basidiomycota|class-Microbotryomycetes|order-Sporidiobolales|family-Sporidiobolaceae|genus-Rhodotorula|species-Rhodotorula_graminis	578459	149	3182	93.12%	53.95%	99.57%
Cryptococcus neoformans var. neoformans JEC21	no rank	phylum-Basidiomycota|class-Tremellomycetes|order-Tremellales|family-Cryptococcaceae|genus-Cryptococcus|species-Cryptococcus_neoformans	214684	157	3791	92.35%	61.72%	99.72%
Kwoniella mangroviensis CBS 8507	species	phylum-Basidiomycota|class-Tremellomycetes|order-Tremellales|family-Cryptococcaceae|genus-Kwoniella|species-Kwoniella_mangrovensis	1296122	168	4445	91.3%	60.8%	98.98%
Rhizopus microsporus ATCC 52813	species	phylum-Mucoromycota|class-Mucoromycetes|order-Mucorales|family-Rhizopodaceae|genus-Rhizopus|species-Rhizopus_microsporus	1340429	150	3084	90.36%	59.5%	99.84%
Fusarium proliferatum ET1	species	phylum-Ascomycota|class-Sordariomycetes|order-Hypocreales|family-Nectriaceae|genus-Fusarium|species-Fusarium_proliferatum	1227346	110	1546	89.43%	50.33%	99.99%
Cryptococcus wingfieldii CBS 7118	species	phylum-Basidiomycota|class-Tremellomycetes|order-Tremellales|family-Cryptococcaceae|genus-Cryptococcus|species-Cryptococcus_wingfieldii	1295528	144	3053	88.34%	57.27%	99.91%
Alternaria sect. Alternaria	section	phylum-Ascomycota|class-Dothideomycetes|order-Pleosporales|family-Pleosporaceae|genus-Alternaria	2499237	52	824	81.25%	59.96%	99.91%
Penicillium chrysogenum	species	phylum-Ascomycota|class-Eurotiomycetes|order-Eurotiales|family-Aspergillaceae|genus-Penicillium|species-Penicillium_chrysogenum	5076	161	1821	79.31%	38.04%	99.88%
Alternaria alternata complex	species group	phylum-Ascomycota|class-Dothideomycetes|order-Pleosporales|family-Pleosporaceae|genus-Alternaria	187734	65	804	79.27%	36.47%	99.96%
leotiomyceta	no rank	phylum-Ascomycota	716546	3	13	75.0%	32.53%	100.0%
Aspergillus tubingensis CBS 134.48	species	phylum-Ascomycota|class-Eurotiomycetes|order-Eurotiales|family-Aspergillaceae|genus-Aspergillus|species-Aspergillus_tubingensis	767770	88	736	53.99%	29.91%	99.96%
Alternaria alternata	species	phylum-Ascomycota|class-Dothideomycetes|order-Pleosporales|family-Pleosporaceae|genus-Alternaria|species-Alternaria_alternata	5599	24	304	35.82%	30.95%	99.82%
Zygosaccharomyces	genus	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Saccharomycetaceae|genus-Zygosaccharomyces	4953	98	3461	33.68%	86.69%	99.77%
Neurospora sublineolata FGSC 5508	species	phylum-Ascomycota|class-Sordariomycetes|order-Sordariales|family-Sordariaceae|genus-Neurospora|species-Neurospora_sublineolata	1266767	60	269	32.97%	14.34%	99.03%
Fusarium fujikuroi species complex	species group	phylum-Ascomycota|class-Sordariomycetes|order-Hypocreales|family-Nectriaceae|genus-Fusarium	171627	61	418	16.9%	25.41%	99.95%
Mucorineae	suborder	phylum-Mucoromycota|class-Mucoromycetes|order-Mucorales	1344963	5	33	15.62%	12.08%	98.59%
Aspergillus costaricaensis CBS 115574	species	phylum-Ascomycota|class-Eurotiomycetes|order-Eurotiales|family-Aspergillaceae|genus-Aspergillus|species-Aspergillus_costaricaensis	1448317	15	28	9.43%	7.99%	99.49%
Trichophyton	genus	phylum-Ascomycota|class-Eurotiomycetes|order-Onygenales|family-Arthrodermataceae|genus-Trichophyton	5550	26	333	6.3%	44.2%	99.71%
Mucor racemosus B9645	species	phylum-Mucoromycota|class-Mucoromycetes|order-Mucorales|family-Mucoraceae|genus-Mucor|species-Mucor_racemosus	1357677	5	35	2.6%	23.14%	97.03%
Rutstroemia sydowiana	species	phylum-Ascomycota|class-Leotiomycetes|order-Helotiales|family-Rutstroemiaceae|genus-Rutstroemia|species-Rutstroemia_sydowiana	54687	3	14	1.67%	37.17%	99.85%
Aspergillus	genus	phylum-Ascomycota|class-Eurotiomycetes|order-Eurotiales|family-Aspergillaceae|genus-Aspergillus	5052	30	181	1.63%	20.77%	99.88%
Botryotinia narcissicola	species	phylum-Ascomycota|class-Leotiomycetes|order-Helotiales|family-Sclerotiniaceae|genus-Botryotinia|species-Botryotinia_narcissicola	278944	3	5	1.53%	7.22%	97.48%
Penicillium	genus	phylum-Ascomycota|class-Eurotiomycetes|order-Eurotiales|family-Aspergillaceae|genus-Penicillium	5073	3	14	0.65%	45.59%	100.0%
