Taxid,Species,Accession,GenomeLength,NumReads,AvgCoverage,GC,NumContigs,Family name,Genus name,Species name,KrakenDetected_Species,KrakenDetected_Genus,KrakenDetected_Family,EukDetected_Species,EukDetected_Genus,EukDetected_Family,MetaphlanDetected_Species,MetaphlanDetected_Genus,MetaphlanDetected_Family,HMSDetected_Species,HMSDetected_Genus,HMSDetected_Family,HMSDetectedFamily,FunOMICDetected_Species,FunOMICDetected_Genus,FunOMICDetected_Family,MiCoPDetected_Species,MiCoPDetected_Genus,MiCoPDetected_Family
41047,Aspergillus thermomutatus,GCF_002237265.1,30945974,412613.0,2,50.0,647.0,Aspergillaceae,Aspergillus,Aspergillus thermomutatus,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes
4956,Zygosaccharomyces rouxii,GCF_000026365.1,9764635,130195.0,2,39.0,9.0,Saccharomycetaceae,Zygosaccharomyces,Zygosaccharomyces rouxii,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
717740,Hyphopichia burtonii NRRL Y-1933,GCF_001661395.1,12403110,165375.0,2,35.0,243.0,Debaryomycetaceae,Hyphopichia,Hyphopichia burtonii,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
63400,Trichophyton benhamiae CBS 112371,GCF_000151125.1,22224160,296322.0,2,48.5,68.0,Arthrodermataceae,Trichophyton,Trichophyton benhamiae,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
1187941,Alternaria rosae,GCF_020736505.1,33831682,451089.0,2,52.0,52.0,Pleosporaceae,Alternaria,Alternaria rosae,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes
42068,Pneumocystis jirovecii RU7,GCF_001477535.1,8396240,111950.0,2,28.5,70.0,Pneumocystaceae,Pneumocystis,Pneumocystis jirovecii,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No
223818,Malassezia japonica,GCF_029542785.1,8433779,112450.0,2,62.5,9.0,Malasseziaceae,Malassezia,Malassezia japonica,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes
1734106,Kwoniella shandongensis,GCF_008629635.1,21297554,283967.0,2,50.0,142.0,Cryptococcaceae,Kwoniella,Kwoniella shandongensis,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes
58291,Rhizopus microsporus ATCC 52813,GCF_002708625.1,25972395,346299.0,2,37.5,823.0,Rhizopodaceae,Rhizopus,Rhizopus microsporus,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No
1187938,Alternaria postmessia,GCF_024291825.1,34409470,458793.0,2,51.0,739.0,Pleosporaceae,Alternaria,Alternaria postmessia,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes
432096,Kazachstania africana CBS 2517,GCF_000304475.1,11130140,148402.0,2,36.5,34.0,Saccharomycetaceae,Kazachstania,Kazachstania africana,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
87229,Botrytis porri,GCF_014898465.1,46789968,623866.0,2,40.0,31.0,Sclerotiniaceae,Botrytis,Botrytis porri,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes
1160497,Aspergillus glaucus CBS 516.65,GCF_001890805.1,27993362,373245.0,2,49.5,433.0,Aspergillaceae,Aspergillus,Aspergillus glaucus,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
564305,Kwoniella shivajii,GCF_035658355.1,22171496,295620.0,2,43.5,12.0,Cryptococcaceae,Kwoniella,Kwoniella shivajii,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes
5619,Cryptococcus wingfieldii CBS 7118,GCF_001720155.1,19969799,266264.0,2,53.5,196.0,Cryptococcaceae,Cryptococcus,Cryptococcus wingfieldii,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
94610,Neurospora tetraspora,GCF_033439725.1,43856413,584752.0,2,48.5,23.0,Sordariaceae,Neurospora,Neurospora tetraspora,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes
27291,Saccharomyces paradoxus,GCF_002079055.1,12021328,160284.0,2,38.5,17.0,Saccharomycetaceae,Saccharomyces,Saccharomyces paradoxus,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
1093897,Phialemonium atrogriseum,GCF_030411735.1,33593884,447918.0,2,55.0,237.0,Cephalothecaceae,Phialemonium,Phialemonium atrogriseum,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
327079,Pseudozyma hubeiensis SY62,GCF_000403515.1,18442938,245906.0,2,56.5,160.0,Ustilaginaceae,Pseudozyma,Pseudozyma hubeiensis,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
5207,Cryptococcus neoformans var. neoformans JEC21,GCF_000091045.1,19051922,254026.0,2,48.5,37.0,Cryptococcaceae,Cryptococcus,Cryptococcus neoformans,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
5068,Aspergillus tubingensis,GCF_013340325.1,35047229,467296.0,2,49.5,16.0,Aspergillaceae,Aspergillus,Aspergillus tubingensis,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes
463800,Kwoniella mangroviensis CBS 8507,GCF_000507465.1,22654511,302060.0,2,45.0,105.0,Cryptococcaceae,Kwoniella,Kwoniella mangrovensis,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
38033,Chaetomium globosum CBS 148.51,GCF_000143365.1,34276485,457020.0,2,56.0,1228.0,Chaetomiaceae,Chaetomium,Chaetomium globosum,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
4950,Torulaspora delbrueckii,GCF_000243375.1,9220678,122942.0,2,42.0,34.0,Saccharomycetaceae,Torulaspora,Torulaspora delbrueckii,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
42260,Zygotorulaspora mrakii,GCF_013402915.1,10412516,138834.0,2,40.0,8.0,Saccharomycetaceae,Zygotorulaspora,Zygotorulaspora mrakii,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes
181014,Alternaria ethzedia,GCF_023757985.1,36016348,480218.0,2,50.5,585.0,Pleosporaceae,Alternaria,Alternaria ethzedia,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes
749465,Boeremia exigua,GCF_020726555.1,35322113,470962.0,2,53.0,26.0,Didymellaceae,Boeremia,Boeremia exigua,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No
45285,Eremothecium cymbalariae DBVPG#7215,GCF_000235365.1,9669424,128926.0,2,40.5,9.0,Saccharomycetaceae,Eremothecium,Eremothecium cymbalariae,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
948311,Fusarium proliferatum ET1,GCF_900067095.1,45210324,602804.0,2,48.5,221.0,Nectriaceae,Fusarium,Fusarium proliferatum,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes
796027,Sugiyamaella lignohabitans,GCF_001640025.1,15938258,212510.0,2,45.0,4.0,Trichomonascaceae,Sugiyamaella,Sugiyamaella lignohabitans,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
45286,Eremothecium sinecaudum,GCF_001548555.1,8922523,118967.0,2,40.0,7.0,Saccharomycetaceae,Eremothecium,Eremothecium sinecaudum,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
