Taxid,Species,Accession,GenomeLength,NumReads,AvgCoverage,GC,NumContigs,Family name,Genus name,Species name,KrakenDetected_Species,KrakenDetected_Genus,KrakenDetected_Family,EukDetected_Species,EukDetected_Genus,EukDetected_Family,MetaphlanDetected_Species,MetaphlanDetected_Genus,MetaphlanDetected_Family,FunOMICDetected_Species,FunOMICDetected_Genus,FunOMICDetected_Family,MiCoPDetected_Species,MiCoPDetected_Genus,MiCoPDetected_Family
27288,Naumovozyma castellii CBS 4309,GCF_000237345.1,11219539,149594.0,2,37.0,17.0,Saccharomycetaceae,Naumovozyma,Naumovozyma castellii,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
5551,Trichophyton rubrum CBS 118892,GCF_000151425.1,22502330,300031.0,2,48.5,622.0,Arthrodermataceae,Trichophyton,Trichophyton rubrum,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
76773,Malassezia globosa CBS 7966,GCF_000181695.2,8954998,119400.0,2,52.0,62.0,Malasseziaceae,Malassezia,Malassezia globosa,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
176275,Beauveria bassiana ARSEF 2860,GCF_000280675.1,33693936,449252.0,2,51.5,1226.0,Cordycipitaceae,Beauveria,Beauveria bassiana,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
293939,Aspergillus lentulus,GCF_010724455.1,30229310,403057.0,2,50.0,799.0,Aspergillaceae,Aspergillus,Aspergillus lentulus,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
27322,Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993,GCF_001664035.1,16055203,214069.0,2,48.0,582.0,Metschnikowiaceae,Metschnikowia,Metschnikowia bicuspidata,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
36911,Clavispora lusitaniae ATCC 42720,GCF_000003835.1,12114892,161532.0,2,44.5,88.0,Metschnikowiaceae,Clavispora,Clavispora lusitaniae,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
5147,Sordaria macrospora k-hell,GCF_000182805.3,38151803,508691.0,2,52.0,2091.0,Sordariaceae,Sordaria,Sordaria macrospora,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes
1859122,Cryptococcus decagattii,GCF_036417295.1,17768546,236914.0,2,48.0,14.0,Cryptococcaceae,Cryptococcus,Cryptococcus decagattii,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes
1041607,Wickerhamomyces ciferrii,GCF_000313485.1,15901152,212015.0,2,30.5,364.0,Phaffomycetaceae,Wickerhamomyces,Wickerhamomyces ciferrii,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
318751,Westerdykella ornata,GCF_010094085.1,26979746,359730.0,2,53.0,208.0,Sporormiaceae,Westerdykella,Westerdykella ornata,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No
36630,Aspergillus fischeri NRRL 181,GCF_000149645.3,31377515,418367.0,2,49.5,252.0,Aspergillaceae,Aspergillus,Aspergillus fischeri,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
5334,Schizophyllum commune H4-8,GCF_000143185.2,38670379,515605.0,2,57.5,72.0,Schizophyllaceae,Schizophyllum,Schizophyllum commune,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
4924,Scheffersomyces stipitis CBS 6054,GCF_000209165.1,15441179,205882.0,2,41.0,9.0,Debaryomycetaceae,Scheffersomyces,Scheffersomyces stipitis,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
324769,Kwoniella bestiolae CBS 10118,GCF_000512585.1,24360772,324810.0,2,47.5,42.0,Cryptococcaceae,Kwoniella,Kwoniella bestiolae,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
215250,Acaromyces ingoldii,GCF_003144295.1,19330111,257735.0,2,57.5,69.0,Cryptobasidiaceae,Acaromyces,Acaromyces ingoldii,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No
42374,Candida dubliniensis CD36,GCF_000026945.1,14618422,194912.0,2,33.0,8.0,Debaryomycetaceae,Candida,Candida dubliniensis,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
29898,Rhodotorula graminis WP1,GCF_001329695.1,21013998,280187.0,2,68.0,322.0,Sporidiobolaceae,Rhodotorula,Rhodotorula graminis,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
36035,Saccharomycodes ludwigii,GCF_020623625.1,12500424,166672.0,2,31.0,9.0,Saccharomycodaceae,Saccharomycodes,Saccharomycodes ludwigii,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No
5481,Diutina rugosa,GCF_008704595.1,13445959,179279.0,2,49.5,328.0,Debaryomycetaceae,Diutina,Diutina rugosa,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes
40127,Neurospora tetrasperma FGSC 2508,GCF_000213175.1,39146333,521951.0,2,49.5,551.0,Sordariaceae,Neurospora,Neurospora tetrasperma,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
45303,Alternaria infectoria,GCF_024043175.1,36515125,486868.0,2,50.0,252.0,Pleosporaceae,Alternaria,Alternaria infectoria,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes
4754,Pneumocystis carinii B80,GCF_001477545.1,7661456,102153.0,2,28.0,62.0,Pneumocystaceae,Pneumocystis,Pneumocystis carinii,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No
41047,Aspergillus thermomutatus,GCF_002237265.1,30945974,412613.0,2,50.0,647.0,Aspergillaceae,Aspergillus,Aspergillus thermomutatus,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
2315449,Yamadazyma tenuis ATCC 10573,GCF_000223465.1,10747050,143294.0,2,43.0,74.0,Debaryomycetaceae,Yamadazyma,Yamadazyma tenuis,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
326644,Daldinia caldariorum,GCF_022478825.1,35556611,474088.0,2,46.0,211.0,Hypoxylaceae,Daldinia,Daldinia caldariorum,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No
121759,Paracoccidioides brasiliensis Pb18,GCF_000150735.1,29952540,399367.0,2,44.5,556.0,,Paracoccidioides,Paracoccidioides brasiliensis,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,No
4909,Pichia kudriavzevii,GCF_003054445.1,10812555,144167.0,2,38.5,5.0,Pichiaceae,Pichia,Pichia kudriavzevii,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
4956,Zygosaccharomyces rouxii,GCF_000026365.1,9764635,130195.0,2,39.0,9.0,Saccharomycetaceae,Zygosaccharomyces,Zygosaccharomyces rouxii,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
717740,Hyphopichia burtonii NRRL Y-1933,GCF_001661395.1,12403110,165375.0,2,35.0,243.0,Debaryomycetaceae,Hyphopichia,Hyphopichia burtonii,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
76777,Malassezia sympodialis ATCC 42132,GCF_000349305.1,7669689,102263.0,2,59.0,88.0,Malasseziaceae,Malassezia,Malassezia sympodialis,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
63400,Trichophyton benhamiae CBS 112371,GCF_000151125.1,22224160,296322.0,2,48.5,68.0,Arthrodermataceae,Trichophyton,Trichophyton benhamiae,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes
1681229,Blastomyces gilchristii SLH14081,GCF_000003855.2,75353942,1004719.0,2,36.0,1791.0,Ajellomycetaceae,Blastomyces,Blastomyces gilchristii,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes
6035,Encephalitozoon cuniculi GB-M1,GCF_000091225.2,2497519,33300.0,2,47.5,12.0,Unikaryonidae,Encephalitozoon,Encephalitozoon cuniculi,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
1078765,Scheffersomyces amazonensis,GCF_036850825.1,14209774,189464.0,2,32.0,9.0,Debaryomycetaceae,Scheffersomyces,Scheffersomyces amazonensis,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes
114524,Saccharomyces kudriavzevii IFO 1802,GCF_947243775.1,11913776,158850.0,2,40.0,16.0,Saccharomycetaceae,Saccharomyces,Saccharomyces kudriavzevii,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
1080349,Saccharomyces eubayanus,GCF_001298625.1,11670174,155602.0,2,40.0,132.0,Saccharomycetaceae,Saccharomyces,Saccharomyces eubayanus,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
264951,Paecilomyces variotii,GCF_004022145.1,30105809,401411.0,2,46.5,86.0,Thermoascaceae,Paecilomyces,Paecilomyces variotii,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No
33169,Eremothecium gossypii ATCC 10895,GCF_000091025.4,9095748,121277.0,2,52.0,7.0,Saccharomycetaceae,Eremothecium,Eremothecium gossypii,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
223818,Malassezia japonica,GCF_029542785.1,8433779,112450.0,2,62.5,9.0,Malasseziaceae,Malassezia,Malassezia japonica,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
253628,Verruconis gallopava,GCF_000836295.1,31780469,423740.0,2,49.0,565.0,Sympoventuriaceae,Verruconis,Verruconis gallopava,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
1734106,Kwoniella shandongensis,GCF_008629635.1,21297554,283967.0,2,50.0,142.0,Cryptococcaceae,Kwoniella,Kwoniella shandongensis,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes
5454,Ascochyta rabiei,GCF_004011695.2,40846718,544623.0,2,49.0,22.0,Didymellaceae,Ascochyta,Ascochyta rabiei,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No
245174,Wallemia ichthyophaga EXF-994,GCF_000400465.1,9655632,128742.0,2,45.5,101.0,Wallemiaceae,Wallemia,Wallemia ichthyophaga,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No
324770,Kwoniella dejecticola CBS 10117,GCF_000512565.1,23862392,318165.0,2,48.5,69.0,Cryptococcaceae,Kwoniella,Kwoniella dejecticola,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
58291,Rhizopus microsporus ATCC 52813,GCF_002708625.1,25972395,346299.0,2,37.5,823.0,Rhizopodaceae,Rhizopus,Rhizopus microsporus,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No
381046,Lachancea thermotolerans CBS 6340,GCF_000142805.1,10392862,138571.0,2,47.5,10.0,Saccharomycetaceae,Lachancea,Lachancea thermotolerans,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1187938,Alternaria postmessia,GCF_024291825.1,34409470,458793.0,2,51.0,739.0,Pleosporaceae,Alternaria,Alternaria postmessia,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes
5478,Nakaseomyces glabratus,GCF_000002545.3,12318245,164243.0,2,38.5,16.0,Saccharomycetaceae,Nakaseomyces,Nakaseomyces glabratus,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes
340170,Spathaspora passalidarum NRRL Y-27907,GCF_000223485.1,13182099,175761.0,2,37.5,26.0,Debaryomycetaceae,Spathaspora,Spathaspora passalidarum,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
563466,Scedosporium apiospermum,GCF_000732125.1,43437139,579162.0,2,50.5,333.0,Microascaceae,Scedosporium,Scedosporium apiospermum,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
4929,Meyerozyma guilliermondii ATCC 6260,GCF_000149425.1,10609954,141466.0,2,44.0,71.0,Debaryomycetaceae,Meyerozyma,Meyerozyma guilliermondii,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
54195,Ascoidea rubescens DSM 1968,GCF_001661345.1,17503998,233387.0,2,33.0,326.0,Ascoideaceae,Ascoidea,Ascoidea rubescens,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
1093900,Thyridium curvatum,GCF_004353045.1,40366568,538221.0,2,55.0,359.0,Thyridiaceae,Thyridium,Thyridium curvatum,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
487661,Aspergillus aculeatinus CBS 121060,GCF_003184765.1,36471649,486289.0,2,50.5,325.0,Aspergillaceae,Aspergillus,Aspergillus aculeatinus,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
37769,Cryptococcus gattii WM276,GCF_000185945.1,18374760,244997.0,2,48.0,21.0,Cryptococcaceae,Cryptococcus,Cryptococcus gattii,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
54092,Lipomyces tetrasporus,GCF_029532465.1,20779202,277056.0,2,48.0,18.0,Lipomycetaceae,Lipomyces,Lipomyces tetrasporus,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No
87229,Botrytis porri,GCF_014898465.1,46789968,623866.0,2,40.0,31.0,Sclerotiniaceae,Botrytis,Botrytis porri,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes
5619,Cryptococcus wingfieldii CBS 7118,GCF_001720155.1,19969799,266264.0,2,53.5,196.0,Cryptococcaceae,Cryptococcus,Cryptococcus wingfieldii,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
27291,Saccharomyces paradoxus,GCF_002079055.1,12021328,160284.0,2,38.5,17.0,Saccharomycetaceae,Saccharomyces,Saccharomyces paradoxus,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
870730,Ogataea angusta,GCF_019207475.1,8903801,118717.0,2,49.5,84.0,Pichiaceae,Ogataea,Ogataea angusta,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes
327079,Pseudozyma hubeiensis SY62,GCF_000403515.1,18442938,245906.0,2,56.5,160.0,Ustilaginaceae,Pseudozyma,Pseudozyma hubeiensis,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
5207,Cryptococcus neoformans var. neoformans JEC21,GCF_000091045.1,19051922,254026.0,2,48.5,37.0,Cryptococcaceae,Cryptococcus,Cryptococcus neoformans,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1859096,Cryptococcus deuterogattii R265,GCF_002954075.1,17550122,234002.0,2,48.0,17.0,Cryptococcaceae,Cryptococcus,Cryptococcus deuterogattii,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes
38033,Chaetomium globosum CBS 148.51,GCF_000143365.1,34276485,457020.0,2,56.0,1228.0,Chaetomiaceae,Chaetomium,Chaetomium globosum,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
199306,Coccidioides posadasii C735 delta SOWgp,GCF_000151335.2,27013412,360179.0,2,46.5,55.0,Onygenaceae,Coccidioides,Coccidioides posadasii,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,No
5007,Brettanomyces bruxellensis,GCF_011074885.1,13150648,175342.0,2,40.0,9.0,Pichiaceae,Brettanomyces,Brettanomyces bruxellensis,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes
45609,Babjeviella inositovora NRRL Y-12698,GCF_001661335.1,15221050,202947.0,2,48.0,211.0,,Babjeviella,Babjeviella inositovora,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,No
278026,Kazachstania heterogenica,GCF_036370985.1,14370535,191607.0,2,30.5,33.0,Saccharomycetaceae,Kazachstania,Kazachstania heterogenica,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes
113608,Tetrapisispora phaffii CBS 4417,GCF_000236905.1,12115070,161534.0,2,33.5,105.0,Saccharomycetaceae,Tetrapisispora,Tetrapisispora phaffii,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
297637,Alternaria triticimaculans,GCF_023758025.1,36788567,490514.0,2,50.0,238.0,Pleosporaceae,Alternaria,Alternaria triticimaculans,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes
42260,Zygotorulaspora mrakii,GCF_013402915.1,10412516,138834.0,2,40.0,8.0,Saccharomycetaceae,Zygotorulaspora,Zygotorulaspora mrakii,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes
1071379,Tetrapisispora blattae CBS 6284,GCF_000315915.1,14048593,187315.0,2,31.5,82.0,Saccharomycetaceae,Tetrapisispora,Tetrapisispora blattae,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
181014,Alternaria ethzedia,GCF_023757985.1,36016348,480218.0,2,50.5,585.0,Pleosporaceae,Alternaria,Alternaria ethzedia,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes
4911,Kluyveromyces marxianus DMKU3-1042,GCF_001417885.1,10920159,145602.0,2,40.0,8.0,Saccharomycetaceae,Kluyveromyces,Kluyveromyces marxianus,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
5482,Candida tropicalis MYA-3404,GCF_000006335.3,14579835,194398.0,2,33.0,127.0,Debaryomycetaceae,Candida,Candida tropicalis,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1051613,Verticillium alfalfae VaMs.102,GCF_000150825.1,32833495,437780.0,2,56.0,4147.0,Plectosphaerellaceae,Verticillium,Verticillium alfalfae,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
2606893,Saprochaete ingens,GCF_902498895.1,21189208,282523.0,2,37.0,6.0,Dipodascaceae,Saprochaete,Saprochaete ingens,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No
195108,Fusarium falciforme,GCF_026873545.1,53563088,714175.0,2,49.5,14.0,Nectriaceae,Fusarium,Fusarium falciforme,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes
460523,Ogataea polymorpha,GCF_001664045.1,8974371,119658.0,2,48.0,7.0,Pichiaceae,Ogataea,Ogataea polymorpha,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
90255,Cokeromyces recurvatus,GCF_025118155.1,28120762,374943.0,2,30.5,85.0,Mucoraceae,Cokeromyces,Cokeromyces recurvatus,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No
101098,Gamsiella multidivaricata,GCF_025024155.1,37665308,502204.0,2,49.0,217.0,Mortierellaceae,Gamsiella,Gamsiella multidivaricata,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
43959,Saccharomycopsis crataegensis,GCF_037102585.1,17100033,228000.0,2,37.5,21.0,Saccharomycopsidaceae,Saccharomycopsis,Saccharomycopsis crataegensis,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No
948311,Fusarium proliferatum ET1,GCF_900067095.1,45210324,602804.0,2,48.5,221.0,Nectriaceae,Fusarium,Fusarium proliferatum,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes
45286,Eremothecium sinecaudum,GCF_001548555.1,8922523,118967.0,2,40.0,7.0,Saccharomycetaceae,Eremothecium,Eremothecium sinecaudum,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
